sample_name	age	age_unit	altitude	anonymized_name	biological_specimen	body_habitat	body_product	body_site	cage	collection_date	country	depth	description	distended_belly	dna_extracted	elevation	env_biome	env_feature	env_material	env_package	event_type	fungi_head	fungi_present	group_event	group_event_treatment	group_harvest	group_treatment	harvest_event	harvest_group	harvest_time_days	host_common_name	host_subject_id	host_taxid	key_head	key_limbs	key_torso	latitude	longitude	ph	ph_cat_group	ph_category	physical_specimen_remaining	public	publication	qiita_study_id	sample_group	sample_group_allskin	sample_type	soil_controls	soil_ph	time_bin	title	treatment	treatment_group_event	unique_samples	unique_treatment	unique_treatment_control	weight
714.Ab.liq.T0.S1	89	days	0	Ab.liq.T0.S1	mouse.sterile_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	4	3/15/11	GAZ:United States of America	0	sterile_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.sterile_soil	abdominal.0	abdominal.sterile_soil	0	0.abdominal	0	mouse	T0.S1	10090	1	1	1	40.01	-105.27	6.01	abdominal.Below7	Below7	FALSE	TRUE	sterile_v_untreated	714	abdominal	abdominal	abdominal liquid	NA	6.01	0	Mouse_Decomp_Forensics_2011	sterile_soil	sterile_soil.abdominal.0	repeat	repeat.sterile_soil	repeatNAsterile_soil	32.8
714.Ab.liq.T0.S2	36	days	0	Ab.liq.T0.S2	mouse.sterile_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	14	3/15/11	GAZ:United States of America	0	sterile_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.sterile_soil	abdominal.0	abdominal.sterile_soil	0	0.abdominal	0	mouse	T0.S2	10090	1	1	1	40.01	-105.27	6.01	abdominal.Below7	Below7	FALSE	TRUE	sterile_v_untreated	714	abdominal	abdominal	abdominal liquid	NA	6.01	0	Mouse_Decomp_Forensics_2011	sterile_soil	sterile_soil.abdominal.0	repeat	repeat.sterile_soil	repeatNAsterile_soil	16.9
714.Ab.liq.T0.S3	89	days	0	Ab.liq.T0.S3	mouse.sterile_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	3	3/15/11	GAZ:United States of America	0	sterile_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.sterile_soil	abdominal.0	abdominal.sterile_soil	0	0.abdominal	0	mouse	T0.S3	10090	1	1	1	40.01	-105.27	5.99	abdominal.Below7	Below7	FALSE	TRUE	sterile_v_untreated	714	abdominal	abdominal	abdominal liquid	NA	5.99	0	Mouse_Decomp_Forensics_2011	sterile_soil	sterile_soil.abdominal.0	repeat	repeat.sterile_soil	repeatNAsterile_soil	28.3
714.Ab.liq.T0.S4	36	days	0	Ab.liq.T0.S4	mouse.sterile_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	14	3/15/11	GAZ:United States of America	0	sterile_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.sterile_soil	abdominal.0	abdominal.sterile_soil	0	0.abdominal	0	mouse	T0.S4	10090	1	1	1	40.01	-105.27	5.94	abdominal.Below7	Below7	FALSE	TRUE	sterile_v_untreated	714	abdominal	abdominal	abdominal liquid	NA	5.94	0	Mouse_Decomp_Forensics_2011	sterile_soil	sterile_soil.abdominal.0	repeat	repeat.sterile_soil	repeatNAsterile_soil	19.1
714.Ab.liq.T0.S5	52	days	0	Ab.liq.T0.S5	mouse.sterile_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	11	3/15/11	GAZ:United States of America	0	sterile_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.sterile_soil	abdominal.0	abdominal.sterile_soil	0	0.abdominal	0	mouse	T0.S5	10090	1	1	1	40.01	-105.27	6.11	abdominal.Below7	Below7	FALSE	TRUE	sterile_v_untreated	714	abdominal	abdominal	abdominal liquid	NA	6.11	0	Mouse_Decomp_Forensics_2011	sterile_soil	sterile_soil.abdominal.0	repeat	repeat.sterile_soil	repeatNAsterile_soil	21.4
714.Ab.liq.T0.U1	88	days	0	Ab.liq.T0.U1	mouse.untreated_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	5	3/15/11	GAZ:United States of America	0	untreated_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.untreated_soil	abdominal.0	abdominal.untreated_soil	0	0.abdominal	0	mouse	T0.U1	10090	1	1	1	40.01	-105.27	6.18	abdominal.Below7	Below7	FALSE	TRUE	Metcalf_2013_eLife	714	abdominal	abdominal	abdominal liquid	NA	6.18	0	Mouse_Decomp_Forensics_2011	untreated_soil	untreated_soil.abdominal.0	repeat	repeat.untreated_soil	repeatNAuntreated_soil	26.2
714.Ab.liq.T0.U2	88	days	0	Ab.liq.T0.U2	mouse.untreated_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	5	3/15/11	GAZ:United States of America	0	untreated_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.untreated_soil	abdominal.0	abdominal.untreated_soil	0	0.abdominal	0	mouse	T0.U2	10090	1	1	1	40.01	-105.27	6.12	abdominal.Below7	Below7	FALSE	TRUE	Metcalf_2013_eLife	714	abdominal	abdominal	abdominal liquid	NA	6.12	0	Mouse_Decomp_Forensics_2011	untreated_soil	untreated_soil.abdominal.0	repeat	repeat.untreated_soil	repeatNAuntreated_soil	27.6
714.Ab.liq.T0.U3	79	days	0	Ab.liq.T0.U3	mouse.untreated_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	6	3/15/11	GAZ:United States of America	0	untreated_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.untreated_soil	abdominal.0	abdominal.untreated_soil	0	0.abdominal	0	mouse	T0.U3	10090	1	1	1	40.01	-105.27	6.14	abdominal.Below7	Below7	FALSE	TRUE	Metcalf_2013_eLife	714	abdominal	abdominal	abdominal liquid	NA	6.14	0	Mouse_Decomp_Forensics_2011	untreated_soil	untreated_soil.abdominal.0	unique	unique.untreated_soil	uniqueNAuntreated_soil	29
714.Ab.liq.T0.U4	109	days	0	Ab.liq.T0.U4	mouse.untreated_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	1	3/15/11	GAZ:United States of America	0	untreated_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.untreated_soil	abdominal.0	abdominal.untreated_soil	0	0.abdominal	0	mouse	T0.U4	10090	1	1	1	40.01	-105.27	6.13	abdominal.Below7	Below7	FALSE	TRUE	Metcalf_2013_eLife	714	abdominal	abdominal	abdominal liquid	NA	6.13	0	Mouse_Decomp_Forensics_2011	untreated_soil	untreated_soil.abdominal.0	repeat	repeat.untreated_soil	repeatNAuntreated_soil	23.2
714.Ab.liq.T0.U5	57	days	0	Ab.liq.T0.U5	mouse.untreated_soil.abdominal.0	UBERON:abdominal cavity	UBERON:tissue fluid	UBERON:mesentery	10	3/15/11	GAZ:United States of America	0	untreated_soil.abdominal.0	no	TRUE	1624	ENVO:terrestrial biome	ENVO:mammalia-associated habitat	bodily fluid	host-associated	zero	no	no	abdominal.0	abdominal.0.untreated_soil	abdominal.0	abdominal.untreated_soil	0	0.abdominal	0	mouse	T0.U5	10090	1	1	1	40.01	-105.27	6.15	abdominal.Below7	Below7	FALSE	TRUE	Metcalf_2013_eLife	714	abdominal	abdominal	abdominal liquid	NA	6.15	0	Mouse_Decomp_Forensics_2011	untreated_soil	untreated_soil.abdominal.0	repeat	repeat.untreated_soil	repeatNAuntreated_soil	25.8
