sample_name	animations_gradient	animations_trajectory	body_habitat	body_product	body_site	bodysite	description	dna_extracted	elevation	env	env_biome	env_feature	env_material	env_package	geo_loc_name	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_location	physical_specimen_remaining	psn	public	qiita_study_id	sample_type	scientific_name	sequencecenter	taxon_id	title
1928.SRS011157.SRX020666.SRR044955	0	NA	UBERON:feces	UBERON:feces	UBERON:feces	Stool	HMP_SRS011157.SRX020666.SRR044955	TRUE	97	Stool	urban biome	host-associated habitat	feces	human-gut	USA	human	Homo sapiens	700014956	9606	38.98	-77.11	HMP-DACC	FALSE	700014956	TRUE	1928	stool	human gut metagenome	WUGSC	408170	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011157.SRX020669.SRR045333	0	NA	UBERON:feces	UBERON:feces	UBERON:feces	Stool	HMP_SRS011157.SRX020669.SRR045333	TRUE	97	Stool	urban biome	host-associated habitat	feces	human-gut	USA	human	Homo sapiens	700014956	9606	38.98	-77.11	HMP-DACC	FALSE	700014956	TRUE	1928	stool	human gut metagenome	WUGSC	408170	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011159.SRX020660.SRR044847	0	NA	UBERON:saliva	UBERON:saliva	UBERON:saliva	Saliva	HMP_SRS011159.SRX020660.SRR044847	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014968	9606	38.98	-77.11	HMP-DACC	FALSE	700014968	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011159.SRX020668.SRR045072	0	NA	UBERON:saliva	UBERON:saliva	UBERON:saliva	Saliva	HMP_SRS011159.SRX020668.SRR045072	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014968	9606	38.98	-77.11	HMP-DACC	FALSE	700014968	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011161.SRX020666.SRR047481	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	Tongue_dorsum	HMP_SRS011161.SRX020666.SRR047481	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014973	9606	38.98	-77.11	HMP-DACC	FALSE	700014973	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011161.SRX020669.SRR045328	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	Tongue_dorsum	HMP_SRS011161.SRX020669.SRR045328	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014973	9606	38.98	-77.11	HMP-DACC	FALSE	700014973	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011163.SRX020515.SRR045361	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	Hard_palate	HMP_SRS011163.SRX020515.SRR045361	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014976	9606	38.98	-77.11	HMP-DACC	FALSE	700014976	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011163.SRX020537.SRR045380	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	Hard_palate	HMP_SRS011163.SRX020537.SRR045380	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014976	9606	38.98	-77.11	HMP-DACC	FALSE	700014976	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011163.SRX020570.SRR045452	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	Hard_palate	HMP_SRS011163.SRX020570.SRR045452	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014976	9606	38.98	-77.11	HMP-DACC	FALSE	700014976	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011165.SRX020666.SRR044923	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	Buccal_mucosa	HMP_SRS011165.SRX020666.SRR044923	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014979	9606	38.98	-77.11	HMP-DACC	FALSE	700014979	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
